
write 1 Gb total

	byte 				iteration number			time cost each iteration
# 48 bytes   		
1717.19015408s			22369622					7.675587902200583e-05	

# 1kb 										
98.9018170834s			1048576						9.441375732421875e-05

# 2kb 				      				
76.4424870014s			524288						0.0001468658447265625

# 4kb 				
58.4420671463s			262144						0.00022125244140625	

# 8kb 				
51.6631910801s			131072						0.000396728515625


# 16kb 				
43.8858571053s			65536						0.00067138671875



# 32kb 				
42.3325309753s			32768						0.0009765625	



# 64kb 				
41.1352391243s			16384						0.00250244140625

